opensearch  | [2025-12-22T01:01:05,657][INFO ][o.o.j.s.JobSweeper       ] [demo-node] Running full sweep
opensearch  | [2025-12-22T01:01:05,802][INFO ][o.o.s.s.c.FlintStreamingJobHouseKeeperTask] [demo-node] Starting housekeeping task for auto refresh streaming jobs.
opensearch  | [2025-12-22T01:01:05,804][INFO ][o.o.s.s.c.FlintStreamingJobHouseKeeperTask] [demo-node] Finished housekeeping task for auto refresh streaming jobs.
kafka       | [2025-12-22 01:01:03,192] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Rolled new log segment at offset 2481129 in 5 ms. (kafka.log.LocalLog)
kafka       | [2025-12-22 01:01:03,192] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 2481129 with 0 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka       | [2025-12-22 01:01:11,691] INFO [SnapshotGenerator id=1] Creating new KRaft snapshot file snapshot 00000000000002481147-0000000008 because we have replayed at least 2800 bytes. (org.apache.kafka.image.publisher.SnapshotGenerator)
kafka       | [2025-12-22 01:01:11,694] INFO [SnapshotEmitter id=1] Successfully wrote snapshot 00000000000002481147-0000000008 (org.apache.kafka.image.publisher.SnapshotEmitter)
kafka       | [2025-12-22 01:01:18,197] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Rolled new log segment at offset 2481159 in 4 ms. (kafka.log.LocalLog)
kafka       | [2025-12-22 01:01:18,197] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 2481159 with 0 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka       | [2025-12-22 01:01:30,613] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2480991 due to snapshot generated (kafka.log.UnifiedLog)
kafka       | [2025-12-22 01:01:30,614] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2480991 breach: LogSegment(baseOffset=2480949, size=2160, lastModifiedTime=1766365187664, largestRecordTimestamp=1766365187640) (kafka.log.UnifiedLog)
kafka       | [2025-12-22 01:01:30,614] INFO [MetadataLog partition=__cluster_metadata-0, nodeId=1] Marking snapshot OffsetAndEpoch(offset=2480952, epoch=8) for deletion because its timestamp (1766365174136) is now (1766365290613) older than the
kafka       | retention (60000) (kafka.raft.KafkaMetadataLog)
kafka       | [2025-12-22 01:01:30,614] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2481030 due to snapshot generated (kafka.log.UnifiedLog)
kafka       | [2025-12-22 01:01:30,616] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segment files LogSegment(baseOffset=2480829, size=2160, lastModifiedTime=1766365127644, largestRecordTimestamp=1766365127620) (kafka.log.LocalLog$)
kafka       | [2025-12-22 01:01:30,616] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2481030 breach: LogSegment(baseOffset=2480979, size=2160, lastModifiedTime=1766365202667, largestRecordTimestamp=1766365202644) (kafka.log.UnifiedLog)
kafka       | [2025-12-22 01:01:30,617] INFO Deleted log /tmp/kafka-logs/__cluster_metadata-0/00000000000002480829.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka       | [2025-12-22 01:01:30,617] INFO Deleted offset index /tmp/kafka-logs/__cluster_metadata-0/00000000000002480829.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka       | [2025-12-22 01:01:30,617] INFO Deleted time index /tmp/kafka-logs/__cluster_metadata-0/00000000000002480829.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
