opensearch  | [2025-12-22T00:51:05,655][INFO ][o.o.j.s.JobSweeper       ] [demo-node] Running full sweep
kafka       | [2025-12-22 00:51:03,019] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Rolled new log segment at offset 2479929 in 6 ms. (kafka.log.LocalLog)
kafka       | [2025-12-22 00:51:03,019] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 2479929 with 0 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka       | [2025-12-22 00:51:07,014] INFO [SnapshotGenerator id=1] Creating new KRaft snapshot file snapshot 00000000000002479938-0000000008 because we have replayed at least 2800 bytes. (org.apache.kafka.image.publisher.SnapshotGenerator)
kafka       | [2025-12-22 00:51:07,017] INFO [SnapshotEmitter id=1] Successfully wrote snapshot 00000000000002479938-0000000008 (org.apache.kafka.image.publisher.SnapshotEmitter)
kafka       | [2025-12-22 00:51:18,023] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Rolled new log segment at offset 2479959 in 5 ms. (kafka.log.LocalLog)
kafka       | [2025-12-22 00:51:18,023] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 2479959 with 0 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka       | [2025-12-22 00:51:26,520] INFO [SnapshotGenerator id=1] Creating new KRaft snapshot file snapshot 00000000000002479977-0000000008 because we have replayed at least 2800 bytes. (org.apache.kafka.image.publisher.SnapshotGenerator)
kafka       | [2025-12-22 00:51:26,523] INFO [SnapshotEmitter id=1] Successfully wrote snapshot 00000000000002479977-0000000008 (org.apache.kafka.image.publisher.SnapshotEmitter)
kafka       | [2025-12-22 00:51:30,614] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2479821 due to snapshot generated (kafka.log.UnifiedLog)
kafka       | [2025-12-22 00:51:30,614] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2479821 breach: LogSegment(baseOffset=2479779, size=2160, lastModifiedTime=1766364602491, largestRecordTimestamp=1766364602467) (kafka.log.UnifiedLog)
kafka       | [2025-12-22 00:51:30,615] INFO [MetadataLog partition=__cluster_metadata-0, nodeId=1] Marking snapshot OffsetAndEpoch(offset=2479782, epoch=8) for deletion because its timestamp (1766364588964) is now (1766364690614) older than the
kafka       | retention (60000) (kafka.raft.KafkaMetadataLog)
kafka       | [2025-12-22 00:51:30,615] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2479860 due to snapshot generated (kafka.log.UnifiedLog)
kafka       | [2025-12-22 00:51:30,617] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segment files LogSegment(baseOffset=2479599, size=2160, lastModifiedTime=1766364512466, largestRecordTimestamp=1766364512441),LogSegment(baseOffset=2479629, size=2160, lastModifiedTime=1766364527469, largestRecordTimestamp=1766364527445) (kafka.log.LocalLog$)
kafka       | [2025-12-22 00:51:30,617] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2479860 breach: LogSegment(baseOffset=2479809, size=2160, lastModifiedTime=1766364617496, largestRecordTimestamp=1766364617472) (kafka.log.UnifiedLog)
kafka       | [2025-12-22 00:51:30,617] INFO Deleted log /tmp/kafka-logs/__cluster_metadata-0/00000000000002479599.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka       | [2025-12-22 00:51:30,617] INFO Deleted offset index /tmp/kafka-logs/__cluster_metadata-0/00000000000002479599.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
