opensearch  | [2025-12-22T01:06:05,658][INFO ][o.o.j.s.JobSweeper       ] [demo-node] Running full sweep
kafka       | [2025-12-22 01:06:04,278] INFO [SnapshotGenerator id=1] Creating new KRaft snapshot file snapshot 00000000000002481732-0000000008 because we have replayed at least 2800 bytes. (org.apache.kafka.image.publisher.SnapshotGenerator)
kafka       | [2025-12-22 01:06:04,287] INFO [SnapshotEmitter id=1] Successfully wrote snapshot 00000000000002481732-0000000008 (org.apache.kafka.image.publisher.SnapshotEmitter)
kafka       | [2025-12-22 01:06:18,287] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Rolled new log segment at offset 2481759 in 5 ms. (kafka.log.LocalLog)
kafka       | [2025-12-22 01:06:18,288] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 2481759 with 0 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka       | [2025-12-22 01:06:23,786] INFO [SnapshotGenerator id=1] Creating new KRaft snapshot file snapshot 00000000000002481771-0000000008 because we have replayed at least 2800 bytes. (org.apache.kafka.image.publisher.SnapshotGenerator)
kafka       | [2025-12-22 01:06:23,789] INFO [SnapshotEmitter id=1] Successfully wrote snapshot 00000000000002481771-0000000008 (org.apache.kafka.image.publisher.SnapshotEmitter)
kafka       | [2025-12-22 01:06:30,616] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segment files LogSegment(baseOffset=2481459, size=2160, lastModifiedTime=1766365442742, largestRecordTimestamp=1766365442717) (kafka.log.LocalLog$)
kafka       | [2025-12-22 01:06:30,616] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2481615 due to snapshot generated (kafka.log.UnifiedLog)
kafka       | [2025-12-22 01:06:30,616] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2481615 breach: LogSegment(baseOffset=2481549, size=2160, lastModifiedTime=1766365487755, largestRecordTimestamp=1766365487730),LogSegment(baseOffset=2481579, size=2160, lastModifiedTime=1766365502759, largestRecordTimestamp=1766365502734) (kafka.log.UnifiedLog)
kafka       | [2025-12-22 01:06:30,616] INFO Deleted log /tmp/kafka-logs/__cluster_metadata-0/00000000000002481459.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka       | [2025-12-22 01:06:30,617] INFO Deleted offset index /tmp/kafka-logs/__cluster_metadata-0/00000000000002481459.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka       | [2025-12-22 01:06:30,617] INFO Deleted time index /tmp/kafka-logs/__cluster_metadata-0/00000000000002481459.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka       | [2025-12-22 01:06:30,617] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000002481459.snapshot.deleted (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka       | [2025-12-22 01:06:30,617] INFO Deleted snapshot files for snapshot OffsetAndEpoch(offset=2481459, epoch=8). (org.apache.kafka.snapshot.Snapshots)
kafka       | [2025-12-22 01:06:30,617] INFO [MetadataLog partition=__cluster_metadata-0, nodeId=1] Marking snapshot OffsetAndEpoch(offset=2481576, epoch=8) for deletion because its timestamp (1766365486229) is now (1766365590616) older than the
kafka       | retention (60000) (kafka.raft.KafkaMetadataLog)
kafka       | [2025-12-22 01:06:30,618] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2481654 due to snapshot generated (kafka.log.UnifiedLog)
kafka       | [2025-12-22 01:06:30,620] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segment files LogSegment(baseOffset=2481489, size=2160, lastModifiedTime=1766365457746, largestRecordTimestamp=1766365457722) (kafka.log.LocalLog$)
kafka       | [2025-12-22 01:06:30,620] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2481654 breach: LogSegment(baseOffset=2481609, size=2160, lastModifiedTime=1766365517763, largestRecordTimestamp=1766365517739) (kafka.log.UnifiedLog)
kafka       | [2025-12-22 01:06:30,620] INFO Deleted log /tmp/kafka-logs/__cluster_metadata-0/00000000000002481489.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka       | [2025-12-22 01:06:30,620] INFO Deleted offset index /tmp/kafka-logs/__cluster_metadata-0/00000000000002481489.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka       | [2025-12-22 01:06:30,621] INFO Deleted time index /tmp/kafka-logs/__cluster_metadata-0/00000000000002481489.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka       | [2025-12-22 01:06:30,621] INFO [MetadataLog partition=__cluster_metadata-0, nodeId=1] Marking snapshot OffsetAndEpoch(offset=2481615, epoch=8) for deletion because its timestamp (1766365505735) is now (1766365590618) older than the
kafka       | retention (60000) (kafka.raft.KafkaMetadataLog)
kafka       | [2025-12-22 01:06:30,621] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000002481489.snapshot.deleted (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka       | [2025-12-22 01:06:30,621] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2481693 due to snapshot generated (kafka.log.UnifiedLog)
kafka       | [2025-12-22 01:06:30,621] INFO Deleted snapshot files for snapshot OffsetAndEpoch(offset=2481498, epoch=8). (org.apache.kafka.snapshot.Snapshots)
kafka       | [2025-12-22 01:06:30,621] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2481693 breach: LogSegment(baseOffset=2481639, size=2160, lastModifiedTime=1766365532767, largestRecordTimestamp=1766365532743) (kafka.log.UnifiedLog)
kafka       | [2025-12-22 01:06:30,621] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segment files LogSegment(baseOffset=2481519, size=2160, lastModifiedTime=1766365472751, largestRecordTimestamp=1766365472726) (kafka.log.LocalLog$)
kafka       | [2025-12-22 01:06:30,621] INFO Deleted log /tmp/kafka-logs/__cluster_metadata-0/00000000000002481519.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka       | [2025-12-22 01:06:30,621] INFO Deleted offset index /tmp/kafka-logs/__cluster_metadata-0/00000000000002481519.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
