kafka  | [2025-12-22 01:08:18,324] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Rolled new log segment at offset 2481999 in 5 ms. (kafka.log.LocalLog)
kafka  | [2025-12-22 01:08:18,324] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 2481999 with 0 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | [2025-12-22 01:08:20,820] INFO [SnapshotGenerator id=1] Creating new KRaft snapshot file snapshot 00000000000002482005-0000000008 because we have replayed at least 2800 bytes. (org.apache.kafka.image.publisher.SnapshotGenerator)
kafka  | [2025-12-22 01:08:20,830] INFO [SnapshotEmitter id=1] Successfully wrote snapshot 00000000000002482005-0000000008 (org.apache.kafka.image.publisher.SnapshotEmitter)
kafka  | [2025-12-22 01:08:30,616] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2481849 due to snapshot generated (kafka.log.UnifiedLog)
kafka  | [2025-12-22 01:08:30,616] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2481849 breach: LogSegment(baseOffset=2481789, size=2160, lastModifiedTime=1766365607791, largestRecordTimestamp=1766365607767),LogSegment(baseOffset=2481819, size=2160, lastModifiedTime=1766365622795, largestRecordTimestamp=1766365622771) (kafka.log.UnifiedLog)
kafka  | [2025-12-22 01:08:30,618] INFO [MetadataLog partition=__cluster_metadata-0, nodeId=1] Marking snapshot OffsetAndEpoch(offset=2481810, epoch=8) for deletion because its timestamp (1766365603266) is now (1766365710616) older than the
kafka  | retention (60000) (kafka.raft.KafkaMetadataLog)
kafka  | [2025-12-22 01:08:30,618] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2481888 due to snapshot generated (kafka.log.UnifiedLog)
kafka  | [2025-12-22 01:08:30,620] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segment files LogSegment(baseOffset=2481669, size=2160, lastModifiedTime=1766365547772, largestRecordTimestamp=1766365547749),LogSegment(baseOffset=2481699, size=2160, lastModifiedTime=1766365562777, largestRecordTimestamp=1766365562753) (kafka.log.LocalLog$)
kafka  | [2025-12-22 01:08:30,620] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2481888 breach: LogSegment(baseOffset=2481849, size=2160, lastModifiedTime=1766365637799, largestRecordTimestamp=1766365637775) (kafka.log.UnifiedLog)
kafka  | [2025-12-22 01:08:30,620] INFO Deleted log /tmp/kafka-logs/__cluster_metadata-0/00000000000002481669.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:08:30,620] INFO Deleted offset index /tmp/kafka-logs/__cluster_metadata-0/00000000000002481669.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:08:30,621] INFO Deleted time index /tmp/kafka-logs/__cluster_metadata-0/00000000000002481669.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:08:30,621] INFO [MetadataLog partition=__cluster_metadata-0, nodeId=1] Marking snapshot OffsetAndEpoch(offset=2481849, epoch=8) for deletion because its timestamp (1766365622771) is now (1766365710618) older than the
kafka  | retention (60000) (kafka.raft.KafkaMetadataLog)
kafka  | [2025-12-22 01:08:30,621] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2481927 due to snapshot generated (kafka.log.UnifiedLog)
kafka  | [2025-12-22 01:08:30,621] INFO Deleted log /tmp/kafka-logs/__cluster_metadata-0/00000000000002481699.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:08:30,621] INFO Deleted offset index /tmp/kafka-logs/__cluster_metadata-0/00000000000002481699.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:08:30,621] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2481927 breach: LogSegment(baseOffset=2481879, size=2160, lastModifiedTime=1766365652804, largestRecordTimestamp=1766365652780) (kafka.log.UnifiedLog)
kafka  | [2025-12-22 01:08:30,621] INFO Deleted time index /tmp/kafka-logs/__cluster_metadata-0/00000000000002481699.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:08:30,622] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000002481669.snapshot.deleted (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka  | [2025-12-22 01:08:30,622] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000002481699.snapshot.deleted (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka  | [2025-12-22 01:08:30,622] INFO [MetadataLog partition=__cluster_metadata-0, nodeId=1] Marking snapshot OffsetAndEpoch(offset=2481888, epoch=8) for deletion because its timestamp (1766365642276) is now (1766365710621) older than the
kafka  | retention (60000) (kafka.raft.KafkaMetadataLog)
kafka  | [2025-12-22 01:08:30,622] INFO Deleted snapshot files for snapshot OffsetAndEpoch(offset=2481693, epoch=8). (org.apache.kafka.snapshot.Snapshots)
kafka  | [2025-12-22 01:08:30,624] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segment files LogSegment(baseOffset=2481729, size=2160, lastModifiedTime=1766365577782, largestRecordTimestamp=1766365577758) (kafka.log.LocalLog$)
kafka  | [2025-12-22 01:08:30,624] INFO Deleted log /tmp/kafka-logs/__cluster_metadata-0/00000000000002481729.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:08:30,624] INFO Deleted offset index /tmp/kafka-logs/__cluster_metadata-0/00000000000002481729.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:08:30,625] INFO Deleted time index /tmp/kafka-logs/__cluster_metadata-0/00000000000002481729.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:08:30,625] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000002481729.snapshot.deleted (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka  | [2025-12-22 01:08:30,625] INFO Deleted snapshot files for snapshot OffsetAndEpoch(offset=2481732, epoch=8). (org.apache.kafka.snapshot.Snapshots)
kafka  | [2025-12-22 01:08:30,627] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segment files LogSegment(baseOffset=2481759, size=2160, lastModifiedTime=1766365592787, largestRecordTimestamp=1766365592763) (kafka.log.LocalLog$)
kafka  | [2025-12-22 01:08:30,627] INFO Deleted log /tmp/kafka-logs/__cluster_metadata-0/00000000000002481759.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:08:30,627] INFO Deleted offset index /tmp/kafka-logs/__cluster_metadata-0/00000000000002481759.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
