prometheus  | time=2025-12-22T00:49:54.474Z level=ERROR source=write_handler.go:719 msg="Error appending remote write" component=web err="too old sample; too old sample; too old sample; too old sample; too old sample; too old sample; too old sample"
kafka       | [2025-12-22 00:50:02,997] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Rolled new log segment at offset 2479809 in 4 ms. (kafka.log.LocalLog)
kafka       | [2025-12-22 00:50:02,997] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 2479809 with 0 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka       | [2025-12-22 00:50:08,495] INFO [SnapshotGenerator id=1] Creating new KRaft snapshot file snapshot 00000000000002479821-0000000008 because we have replayed at least 2800 bytes. (org.apache.kafka.image.publisher.SnapshotGenerator)
kafka       | [2025-12-22 00:50:08,504] INFO [SnapshotEmitter id=1] Successfully wrote snapshot 00000000000002479821-0000000008 (org.apache.kafka.image.publisher.SnapshotEmitter)
kafka       | [2025-12-22 00:50:18,002] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Rolled new log segment at offset 2479839 in 5 ms. (kafka.log.LocalLog)
kafka       | [2025-12-22 00:50:18,002] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 2479839 with 0 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka       | [2025-12-22 00:50:28,001] INFO [SnapshotGenerator id=1] Creating new KRaft snapshot file snapshot 00000000000002479860-0000000008 because we have replayed at least 2800 bytes. (org.apache.kafka.image.publisher.SnapshotGenerator)
kafka       | [2025-12-22 00:50:28,011] INFO [SnapshotEmitter id=1] Successfully wrote snapshot 00000000000002479860-0000000008 (org.apache.kafka.image.publisher.SnapshotEmitter)
kafka       | [2025-12-22 00:50:30,614] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2479665 due to snapshot generated (kafka.log.UnifiedLog)
kafka       | [2025-12-22 00:50:30,614] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2479665 breach: LogSegment(baseOffset=2479599, size=2160, lastModifiedTime=1766364512466, largestRecordTimestamp=1766364512441),LogSegment(baseOffset=2479629, size=2160, lastModifiedTime=1766364527469, largestRecordTimestamp=1766364527445) (kafka.log.UnifiedLog)
kafka       | [2025-12-22 00:50:30,616] INFO [MetadataLog partition=__cluster_metadata-0, nodeId=1] Marking snapshot OffsetAndEpoch(offset=2479626, epoch=8) for deletion because its timestamp (1766364510941) is now (1766364630614) older than the
kafka       | retention (60000) (kafka.raft.KafkaMetadataLog)
kafka       | [2025-12-22 00:50:30,616] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2479704 due to snapshot generated (kafka.log.UnifiedLog)
kafka       | [2025-12-22 00:50:30,617] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segment files LogSegment(baseOffset=2479509, size=2160, lastModifiedTime=1766364467451, largestRecordTimestamp=1766364467426) (kafka.log.LocalLog$)
kafka       | [2025-12-22 00:50:30,617] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2479704 breach: LogSegment(baseOffset=2479659, size=2160, lastModifiedTime=1766364542474, largestRecordTimestamp=1766364542450) (kafka.log.UnifiedLog)
kafka       | [2025-12-22 00:50:30,618] INFO Deleted log /tmp/kafka-logs/__cluster_metadata-0/00000000000002479509.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka       | [2025-12-22 00:50:30,618] INFO Deleted offset index /tmp/kafka-logs/__cluster_metadata-0/00000000000002479509.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka       | [2025-12-22 00:50:30,618] INFO Deleted time index /tmp/kafka-logs/__cluster_metadata-0/00000000000002479509.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka       | [2025-12-22 00:50:30,618] INFO [MetadataLog partition=__cluster_metadata-0, nodeId=1] Marking snapshot OffsetAndEpoch(offset=2479665, epoch=8) for deletion because its timestamp (1766364530446) is now (1766364630616) older than the
kafka       | retention (60000) (kafka.raft.KafkaMetadataLog)
kafka       | [2025-12-22 00:50:30,618] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000002479509.snapshot.deleted (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka       | [2025-12-22 00:50:30,619] INFO Deleted snapshot files for snapshot OffsetAndEpoch(offset=2479509, epoch=8). (org.apache.kafka.snapshot.Snapshots)
kafka       | [2025-12-22 00:50:30,619] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2479743 due to snapshot generated (kafka.log.UnifiedLog)
kafka       | [2025-12-22 00:50:30,620] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segment files LogSegment(baseOffset=2479539, size=2160, lastModifiedTime=1766364482456, largestRecordTimestamp=1766364482431) (kafka.log.LocalLog$)
kafka       | [2025-12-22 00:50:30,620] INFO Deleted log /tmp/kafka-logs/__cluster_metadata-0/00000000000002479539.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka       | [2025-12-22 00:50:30,620] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2479743 breach: LogSegment(baseOffset=2479689, size=2160, lastModifiedTime=1766364557478, largestRecordTimestamp=1766364557454) (kafka.log.UnifiedLog)
