kafka  | [2025-12-22 01:11:16,376] INFO [SnapshotGenerator id=1] Creating new KRaft snapshot file snapshot 00000000000002482356-0000000008 because we have replayed at least 2800 bytes. (org.apache.kafka.image.publisher.SnapshotGenerator)
kafka  | [2025-12-22 01:11:16,379] INFO [SnapshotEmitter id=1] Successfully wrote snapshot 00000000000002482356-0000000008 (org.apache.kafka.image.publisher.SnapshotEmitter)
kafka  | [2025-12-22 01:11:18,380] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Rolled new log segment at offset 2482359 in 4 ms. (kafka.log.LocalLog)
kafka  | [2025-12-22 01:11:18,380] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 2482359 with 0 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka  | [2025-12-22 01:11:30,616] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2482200 due to snapshot generated (kafka.log.UnifiedLog)
kafka  | [2025-12-22 01:11:30,616] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2482200 breach: LogSegment(baseOffset=2482149, size=2160, lastModifiedTime=1766365787845, largestRecordTimestamp=1766365787820) (kafka.log.UnifiedLog)
kafka  | [2025-12-22 01:11:30,617] INFO [MetadataLog partition=__cluster_metadata-0, nodeId=1] Marking snapshot OffsetAndEpoch(offset=2482161, epoch=8) for deletion because its timestamp (1766365778818) is now (1766365890616) older than the
kafka  | retention (60000) (kafka.raft.KafkaMetadataLog)
kafka  | [2025-12-22 01:11:30,617] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2482239 due to snapshot generated (kafka.log.UnifiedLog)
kafka  | [2025-12-22 01:11:30,618] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segment files LogSegment(baseOffset=2482029, size=2160, lastModifiedTime=1766365727826, largestRecordTimestamp=1766365727802) (kafka.log.LocalLog$)
kafka  | [2025-12-22 01:11:30,618] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2482239 breach: LogSegment(baseOffset=2482179, size=2160, lastModifiedTime=1766365802849, largestRecordTimestamp=1766365802824),LogSegment(baseOffset=2482209, size=2160, lastModifiedTime=1766365817854, largestRecordTimestamp=1766365817829) (kafka.log.UnifiedLog)
kafka  | [2025-12-22 01:11:30,618] INFO Deleted log /tmp/kafka-logs/__cluster_metadata-0/00000000000002482029.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:11:30,619] INFO Deleted offset index /tmp/kafka-logs/__cluster_metadata-0/00000000000002482029.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:11:30,619] INFO Deleted time index /tmp/kafka-logs/__cluster_metadata-0/00000000000002482029.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:11:30,619] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000002482029.snapshot.deleted (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka  | [2025-12-22 01:11:30,619] INFO [MetadataLog partition=__cluster_metadata-0, nodeId=1] Marking snapshot OffsetAndEpoch(offset=2482200, epoch=8) for deletion because its timestamp (1766365798323) is now (1766365890617) older than the
kafka  | retention (60000) (kafka.raft.KafkaMetadataLog)
kafka  | [2025-12-22 01:11:30,619] INFO Deleted snapshot files for snapshot OffsetAndEpoch(offset=2482044, epoch=8). (org.apache.kafka.snapshot.Snapshots)
kafka  | [2025-12-22 01:11:30,619] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2482278 due to snapshot generated (kafka.log.UnifiedLog)
kafka  | [2025-12-22 01:11:30,621] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segment files LogSegment(baseOffset=2482059, size=2160, lastModifiedTime=1766365742832, largestRecordTimestamp=1766365742807),LogSegment(baseOffset=2482089, size=2160, lastModifiedTime=1766365757836, largestRecordTimestamp=1766365757811) (kafka.log.LocalLog$)
kafka  | [2025-12-22 01:11:30,621] INFO Deleted log /tmp/kafka-logs/__cluster_metadata-0/00000000000002482059.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:11:30,621] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2482278 breach: LogSegment(baseOffset=2482239, size=2160, lastModifiedTime=1766365832859, largestRecordTimestamp=1766365832834) (kafka.log.UnifiedLog)
kafka  | [2025-12-22 01:11:30,621] INFO Deleted offset index /tmp/kafka-logs/__cluster_metadata-0/00000000000002482059.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:11:30,621] INFO Deleted time index /tmp/kafka-logs/__cluster_metadata-0/00000000000002482059.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:11:30,621] INFO Deleted log /tmp/kafka-logs/__cluster_metadata-0/00000000000002482089.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:11:30,621] INFO Deleted offset index /tmp/kafka-logs/__cluster_metadata-0/00000000000002482089.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:11:30,621] INFO [MetadataLog partition=__cluster_metadata-0, nodeId=1] Marking snapshot OffsetAndEpoch(offset=2482239, epoch=8) for deletion because its timestamp (1766365817829) is now (1766365890619) older than the
kafka  | retention (60000) (kafka.raft.KafkaMetadataLog)
kafka  | [2025-12-22 01:11:30,621] INFO Deleted time index /tmp/kafka-logs/__cluster_metadata-0/00000000000002482089.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka  | [2025-12-22 01:11:30,622] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000002482059.snapshot.deleted (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka  | [2025-12-22 01:11:30,622] INFO Deleted producer state snapshot /tmp/kafka-logs/__cluster_metadata-0/00000000000002482089.snapshot.deleted (org.apache.kafka.storage.internals.log.SnapshotFile)
kafka  | [2025-12-22 01:11:30,622] INFO Deleted snapshot files for snapshot OffsetAndEpoch(offset=2482083, epoch=8). (org.apache.kafka.snapshot.Snapshots)
